Customer Name,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Score_Numeric,Segment
Abernathy Group ,0,353,24876667.0,5,2,5,525,12,At Risk
Abernathy Group Pharmaceutical Limited,731,223,2079222.0,1,2,1,121,4,New
Abernathy Group Pharmacy,0,390,34635271.0,5,4,5,545,14,Champions
Abernathy and Sons ,0,376,20722227.0,5,3,4,534,12,Loyal
Abernathy and Sons Pharmaceutical Limited,0,391,18857078.0,5,4,4,544,13,Champions
Armstrong Inc Pharm,0,361,24643385.0,5,2,5,525,12,At Risk
Armstrong Inc Pharma Plc,0,422,12315560.0,5,5,2,552,12,At Risk
"Armstrong, Medhurst and Bogisich Pharmaceutical Ltd",0,392,20459841.0,5,4,4,544,13,Champions
"Armstrong, Medhurst and Bogisich Pharmacy",0,385,12992274.0,5,3,2,532,10,At Risk
Balistreri Group Pharm,0,395,18120449.0,5,4,4,544,13,Champions
Balistreri Group Pharmaceutical Ltd,731,206,4643931.0,1,1,2,112,4,New
Balistreri Group Pharmacy,0,381,13660437.0,5,3,2,532,10,At Risk
"Balistreri, Torp and Gulgowski ",0,412,28802458.0,5,5,5,555,15,Champions
"Balistreri, Torp and Gulgowski Pharmacy",731,212,2792805.0,1,1,1,111,3,Lost
Balistreri-Watsica Pharma Plc,0,392,18531755.0,5,4,4,544,13,Champions
Balistreri-Watsica Pharmacy,731,239,6114088.0,1,2,2,122,5,New
Barrows Inc ,731,182,3190339.0,1,1,1,111,3,Lost
Barrows Inc Pharmaceutical Limited,0,372,18879087.0,5,3,4,534,12,Loyal
Barrows Inc Pharmacy,0,360,26895847.0,5,2,5,525,12,At Risk
"Barrows, Zboncak and Reichert Pharm",0,405,34539524.0,5,5,5,555,15,Champions
"Barrows, Zboncak and Reichert Pharma Plc",0,401,11129458.0,5,5,2,552,12,At Risk
Barrows-Kohler Pharm,0,430,17624215.0,5,5,3,553,13,Loyal
Barrows-Kohler Pharma Plc,0,397,24862159.0,5,4,5,545,14,Champions
Bartoletti-Altenwerth ,731,185,1993484.0,1,1,1,111,3,Lost
Bartoletti-Altenwerth Pharm,0,352,13173562.0,5,2,2,522,9,At Risk
Barton Ltd Pharm,0,405,26870627.0,5,5,5,555,15,Champions
Barton Ltd Pharma Plc,731,191,2789921.0,1,1,1,111,3,Lost
Barton Ltd Pharmaceutical Limited,0,365,19688697.0,5,2,4,524,11,At Risk
Bashirian Group ,0,359,12813673.0,5,2,2,522,9,At Risk
Bashirian Group Pharmacy,0,365,18573169.0,5,2,4,524,11,At Risk
